Type,Chemical,Unit,Maximum Allowed,Goal,Average Level Detected,Highest Level Detected,Range Detected,Florence Plant,Platte South Plant,Peaking Wells,Likely source(s)
Regulated,Total Coliform bacteria,%,5,0,,1.87,,,,,Bacteria naturally present in the environment; used as an indicator that other potentially harmful bacteria may be present.
Regulated,E. Coli bacteria,,,0,,0,,,,,Naturally present in the environment.
Regulated,Lead,ppb,15,0,,6.1,1.31-9.69,,,, Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Copper,ppm,1.3,1.3,,0.0208,0.0053-0.0821,,,,Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Turbidity,NTU,1,NA,,0.44,,,,,Soil runoff.
Regulated,Arsenic,ppb,10,0,,4.15,<2-4.15,,,,Runoff from orchards; natural deposits; runoff from glass and electronic production wastes.
Regulated,Atrazine,ppb,3,3,,1.03,<0.08-1.03,,,," ""Runoff from herbicide used on row crops."""
Regulated,Barium,ppm,2,2,,0.11,0.03-0.11,,,,Discharge of drilling wastes; discharge from metal refineries; erosion of natural deposits.
Regulated,Chromium,ppb,100,100,,12.7,<0.2-12.7,,,,Discharge from chemical and agricultural chemical factories.
Regulated,Chromium VI,ppb,100,100,,1.9,0.09-1.90,,,,Discharge from chemical and agricultural chemical factories.
Regulated,Fluoride,ppm,4,4,,0.88,0.38-0.88,,,,Erosion of natural deposits; water additive to promote strong teeth; fertilizer discharge.
Regulated,Gross Alpha,pCi/L,15,0,,7.9,<1.2-7.9,,,,Erosion of natural deposits.
Regulated,Radium (Ra 226 plus Ra 228),pCi/L,5,0,,3.7,<0.8-3.7,,,,Erosion of natural deposits.
Regulated,Nitrate and Nitrite total (as Nitrogen),ppm,10,10,,4.06,0.34-4.06,,,,"Runoff from fertilizer use; leaching from septic tanks, sewage; erosion of natural deposits."
Regulated,Sodium,ppm,500,NA,,95,34-95,,,,"An element of the alkali metal group found in nature, soil, rocks and other deposits."
Regulated,Trihaloacetic acids (HAA5s),ppb,60,NA,,28.9,10.1-38.2,,,,By-product of drinking water chlorination.
Regulated,Trihalomethanes total (TTHMs),ppb,80,NA,,53.7,23.2-74.1,,,,By-product of drinking water chlorination.
Unregulated,Nickel,ppb,,,0.00000242,,0.00000113-0.00000601,,,,
Unregulated,Bromochlooacetic acid,ppb,,,5.58,,3.22-9.85,,,,
Unregulated,Bromodichloromethane,ppb,,,11.3,,6.42-21.3,,,,
Unregulated,Bromoform,ppb,,,0.69,,<0.5-1.3,,,,
Unregulated,Chlorate,ppb,,,22.4,,22-46 ,,,,
Unregulated,Chloroform,ppb,,,26.4,,8.66-47.0,,,,
Unregulated,Dichoroacetic acid,ppb,,,1.82,,<0.5-3.6,,,,
Unregulated,Dibromochloromethane,ppb,,,4.94,,1.32-9.38,,,,
Unregulated,Dibromoacetic acid,ppb,,,16.2,,5.99-24.8,,,,
Unregulated,Metolachlor,ppb,,,0.12,,<0.1-0.29,,,,
Unregulated,Monobromoacetic acid,ppb,,,1.06,,<1.0-2.12,,,,
Unregulated,N-Nitrosodimethylamine (NDMA),ppb,,,0.0023,,<0.0020-0.0039,,,,
Unregulated,Monochloroacetic acid,ppb,,,2.02,,<2.0-2.40,,,,
Unregulated,Total Organic Carbon (TOC),ppm,,,3.08,,2.80-3.50,,,,
Unregulated,Trichloroacetic acid,ppb,,,3.99,,1.71-8.12,,,,
Unregulated,Molybdenum,ppb,,,3.91,,3.0-5.3,,,,
Unregulated,Radium-226,pCi/L,,,0.2,,<0.2-0.8 ,,,,
Unregulated,Radium-228,pCi/L,,,1.2,,<0.8-3.30,,,,
Unregulated,Strontium,ppb,,,286,,210-330 ,,,,
Unregulated,Sulfate,ppm,,,55.4,,11.6-220 ,,,,
Unregulated,Vanadium,ppb,,,4.37,,1.7-5.0 ,,,,
Mineral,pH,pH units,,,8.96,,8.57-9.47 ,,,,
Mineral,Alkalinity (total) as CaCO3,ppm,,,108,,51-146 ,,,,
Mineral,Aluminum,ppm,,,0.07,,<0.01-0.17 ,,,,
Mineral,Calcium,ppm,,,41,,33-47 ,,,,
Mineral,Chloride,ppm,,,32,,11.0-87.0,,,,
Mineral,Color (in cobalt platinum units),ppm,,,2,,1.0-4.0,,,,
Mineral,Dissolved Solids,ppm,,,417,,240-556 ,,,,
Mineral,Hardness (total) as CaCO3,grains per gallon,,,9,,8.0-11.0,,,,
Mineral,Iron,ppm,,,0.03,,<0.02-0.14 ,,,,
Mineral,Magnesium,ppm,,,13,,8.0-22.0,,,,
Mineral,Manganese,ppm,,, <0.02,,<0.02-0.02 ,,,,
Mineral,Phosphate,ppm,,,0.2,,<0.05-0.51 ,,,,
Mineral,Silica,ppm,,,23.5,,7.1-39.8 ,,,,
Mineral,Spec. Conductance @25 deg. C.,umhos,,,564,,429-700 ,,,,
Mineral,Temperature,degrees Celsius,,,14.5,,1.5-27.1 ,,,,
Mineral,Zinc,ppm,,, <0.01,,<0.01 ,,,,
Mineral,Potassium,ppm,,,9,,7.0-11.0,,,,
